"stype","p","ootype","propType","scnt","ocnt","cnt","min_sp","max_sp","avg_sp"
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",542,1510,1510,2,6,5.698013245033113
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",346,1016,1016,1,3,2.968503937007874
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",542,1510,1510,2,6,5.698013245033113
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasCorporateBody",,"data",30,10,30,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasEuProgramme",,"data",336,45,336,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasSubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",8,24,24,2,6,3.5
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",896,17691,20602,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading","http://www.w3.org/2001/XMLSchema#string","data",6,6,6,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",661,5942,15203,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#ppStage",,"data",196,2,196,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",54,789,1242,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference","http://www.w3.org/2001/XMLSchema#string","data",1,1,1,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",809,14676,18606,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark","http://www.w3.org/2001/XMLSchema#string","data",2,2,2,1,23,12
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",6115,1,6115,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#currency",,"data",6115,1,6115,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#double","data",3965,3139,3965,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#string","data",2150,4,2150,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",1280,1,1280,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",366,1,366,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#delegation","http://www.w3.org/2001/XMLSchema#string","data",43,1,43,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",1280,1280,1280,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",1269,50,1269,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",384,1,384,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",1,1,1,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",1280,3,1280,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",1280,3,1280,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",2415,1,2415,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",442,1,442,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#delegation","http://www.w3.org/2001/XMLSchema#string","data",2,1,2,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",2415,2415,2415,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",2333,77,2333,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",393,1,393,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",2,2,2,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",2415,3,2415,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",2415,3,2415,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",24,1,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",24,24,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",24,509,552,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","object",36,1,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",36,36,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasChapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","object",36,128,128,1,9,4.65625
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",36,828,828,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data"
