subject,predicate,object
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://publications.europa.eu/ontology/euvoc#DomainEurovoc
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Domain
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#status,
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://publications.europa.eu/ontology/euvoc#status,
http://eurovoc.europa.eu/schema#Domain,http://publications.europa.eu/ontology/euvoc#status,
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://publications.europa.eu/ontology/euvoc#status,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Domain,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#Domain,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#supportedLanguage,http://eurovoc.europa.eu/schema#Language
http://eurovoc.europa.eu/schema#Thesaurus,http://eurovoc.europa.eu/schema#supportedLanguage,http://eurovoc.europa.eu/schema#Language
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Thesaurus
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/hasPart,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/hasPart,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/terms/hasPart,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/terms/hasPart,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/terms/identifier,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Thesaurus,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Language
http://eurovoc.europa.eu/schema#Language,http://eurovoc.europa.eu/schema#language,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/isReplacedBy,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/isReplacedBy,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/type,
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://publications.europa.eu/ontology/euvoc#status,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/replaces,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/replaces,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#Thesaurus
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#Thesaurus
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#Country
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#Country
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#historyNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#historyNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://publications.europa.eu/ontology/euvoc#status,
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#literalForm,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://purl.org/dc/terms/type,
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#acronymFor,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#acronymFor,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#acronymFor,http://www.w3.org/2008/05/skos-xl#Label
