stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus,object,21,1,21,1,1,1.0
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,21,1,21,1,1,1.0
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,object,21,567,567,27,27,27.0
http://eurovoc.europa.eu/schema#Language,http://eurovoc.europa.eu/schema#language,http://www.w3.org/2001/XMLSchema#string,data,24,24,24,1,1,1.0
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Language,object,24,1,24,1,1,1.0
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,24,1056,1056,44,44,44.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://art.uniroma2.it/ontologies/vocbench#hasStatus,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,data,129,1,129,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#ThesaurusConcept,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://www.w3.org/2004/02/skos/core#Concept,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,data,1,1,1,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://eurovoc.europa.eu/schema#Domain,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://eurovoc.europa.eu/schema#ThesaurusConcept,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://www.w3.org/2004/02/skos/core#Concept,object,127,21,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,data,129,129,129,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/terms/identifier,http://www.w3.org/2001/XMLSchema#string,data,129,129,129,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/terms/isPartOf,http://eurovoc.europa.eu/schema#Thesaurus,object,127,1,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/terms/isPartOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,127,1,127,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://rdfs.org/ns/void#usedBy,,data,1,128,128,128,128,128.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#MicroThesaurus,object,129,2,258,2,2,2.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,data,129,1,129,1,1,1.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#Domain,object,1,21,21,21,21,21.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept,object,128,559,560,1,32,7.807142857142857142857143
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,object,1,21,21,21,21,21.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept,object,128,559,560,1,32,7.807142857142857142857143
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,129,3433,3433,2,27,26.970870958345470434022721
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label,object,1,29,29,29,29,29.0
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,object,129,3431,3431,1,27,26.984844068784610900612066
