s,p,o,count
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#Country,75
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus,240
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,1056
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,21
http://eurovoc.europa.eu/schema#Domain,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,21
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,389183
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,7083
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,7083
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,387754
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus,21
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://art.uniroma2.it/ontologies/vocbench#hasStatus,http://www.w3.org/2001/XMLSchema#string,1
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,21
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,127
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu,7104
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,21
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,14507
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/euvoc#domain,http://eurovoc.europa.eu/schema#Domain,127
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#longFormFor,http://www.w3.org/2008/05/skos-xl#Label,158
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus,560
