"stype","p","ootype","propType","scnt","ocnt","cnt","min_sp","max_sp","avg_sp"
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",550,1518,1518,4,6,5.652173913043478
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",347,1033,1033,2,3,2.984511132623427
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",550,1518,1518,4,6,5.652173913043478
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasCorporateBody",,"data",30,10,30,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasEuProgramme",,"data",340,47,340,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasSubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",8,24,24,2,6,3.5
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",905,17919,20809,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading","http://www.w3.org/2001/XMLSchema#string","data",6,6,6,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",678,6010,15394,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal","http://www.w3.org/2001/XMLSchema#string","data",18,17,200,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#ppStage",,"data",215,3,215,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",55,849,1265,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",818,14301,18813,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark","http://www.w3.org/2001/XMLSchema#string","data",2,2,2,1,23,12
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserveCondition",,"data",1,23,23,23,23,23
